"site_code";"site_name";"management_type";"species_composition";"site_category";"elevation";"x";"y";"species";"year";"sample_depth";"cambial_age";"max_cambial_age";"cambial_age_range";"cum_DBH";"cum_BA";"cv_TRW";"mid_TRW";"std_chron";"res_chron";"last1";"last3";"last5";"sd_RWI";"cv_RWI";"last1_RWI";"last3_RWI";"last5_RWI"
"P810405ABAL.11";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1970;7;74;96;38;24.5;495;0.748507955530939;1.20642857142857;0.559055776404923;1.20676221836172;1.05214285714286;1.0652380952381;1.13257142857143;0.769499379695757;0.906709921103748;0.653882510332366;0.714685397059384;0.779924087383794
"P810405ABAL.12";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1971;7;75;97;38;24.8;505.8;0.918363421075647;1.33;0.782020301596854;1.18955863058115;1.20642857142857;1.08142857142857;1.10614285714286;0.648267365434283;0.76940333459499;0.848672063452263;0.722187164799442;0.741756995932735
"P810405ABAL.13";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1972;7;76;98;38;25;515.6;0.976650083961789;1.16785714285714;0.30816706023685;1.13471869477952;1.33;1.19619047619048;1.14642857142857;1.12922172383142;1.17087378462451;0.842558559712414;0.781704377832348;0.767057362868566
"P810405ABAL.14";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1973;7;77;99;38;25.2;522.4;0.864681048488248;0.827142857142857;0.436791748587039;0.769197756361645;1.16785714285714;1.2347619047619;1.14842857142857;0.42105982905607;0.798109091640519;0.96442651518887;0.885219046117849;0.794709313859922
"P810405ABAL.15";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1974;7;78;100;38;25.4;531.1;1.36690280932496;0.99;0.267150519972457;0.617585285841278;0.827142857142857;1.10833333333333;1.11671428571429;1.45864936093156;1.76094255088245;0.527571773666402;0.778185616189229;0.767422284470463
"P810405ABAL.16";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1975;7;79;101;38;25.6;538.1;1.26619747560181;0.805;0.132894177979416;0.893915384671738;0.99;0.995;1.10428571428571;0.673496352743192;1.2835504220225;0.82833443953103;0.773444242795434;0.802312670310196
"P810405ABAL.17";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1976;7;80;102;38;25.7;542.9;1.27705247647672;0.547142857142857;0.272314699160183;0.73263898175636;0.805;0.874047619047619;1.024;0.324266770683837;1.07778236800258;0.524713592226444;0.626873268474625;0.737520976065032
"P810405ABAL.18";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1977;7;81;103;38;25.8;546.6;1.44370735862382;0.432857142857143;0.0760985867587473;0.807185874304763;0.547142857142857;0.780714285714286;0.867428571428571;0.510314717746201;1.50597751255254;0.300864794517646;0.55130427542504;0.629182223026078
"P810405ABAL.19";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1978;7;82;104;38;25.9;551.5;1.4062367368121;0.575714285714286;0.230209993122113;0.80643394531042;0.432857142857143;0.595;0.720428571428571;0.44645524023851;1.26435750595828;0.338859454070632;0.388145946938241;0.504068810802431
"P810405ABAL.20";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1979;7;83;105;38;26;555.6;1.09507246172807;0.479285714285714;0.188015761782879;0.895150998287689;0.575714285714286;0.518571428571429;0.670142857142857;0.606048118987418;1.46888002398965;0.353108387568065;0.330944212052114;0.469176133582763
"P810405ABAL.21";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1980;7;84;106;38;26.1;560.4;0.973948952717749;0.571428571428571;0.208338242989464;1.06824793393959;0.479285714285714;0.495952380952381;0.568;0.36312620789422;0.928984514782827;0.412591981026007;0.368186607554901;0.386027641881759
"P810405ABAL.22";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1981;7;85;107;38;26.2;566.1;0.827089415693658;0.681428571428571;0.416997322675373;0.854014033847806;0.571428571428571;0.542142857142857;0.521285714285714;0.261497544999457;0.618934265513928;0.390885103159238;0.385528490584437;0.359261944068318
"P810405ABAL.23";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1982;7;86;108;38;26.4;572.6;0.650387981265494;0.762142857142857;0.494877940564425;1.03180058335126;0.681428571428571;0.577380952380952;0.548142857142857;0.361582444230827;0.697937202111336;0.422496474294123;0.408657852826456;0.383588280023613
"P810405ABAL.24";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1983;7;87;109;38;26.6;584.3;0.65703866136713;1.37285714285714;0.822090868882497;1.41873868239498;0.762142857142857;0.671666666666667;0.614;0.499331202726166;0.584866582631641;0.518073034560991;0.443818204004784;0.419430996121685
"P810405ABAL.25";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1984;7;88;110;38;26.9;594.5;0.867815002789019;1.13428571428571;0.604041542283047;1.18793296254601;1.37285714285714;0.938809523809524;0.773428571428571;0.82948740209598;1.0052612181878;0.853752321562631;0.598107276805915;0.519559782920598
"P810405ABAL.26";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1985;7;89;111;38;27.1;606.4;0.834428457914282;1.305;0.814033400436606;1.1426751186088;1.13428571428571;1.0897619047619;0.904428571428571;0.624986153525784;0.739569375130301;0.825146128278287;0.73232382813397;0.602070612371054
"P810405ABAL.27";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1986;7;90;112;38;27.4;618;0.748089849737328;1.28428571428571;0.417198059155198;1.2063484864512;1.305;1.27071428571429;1.05114285714286;1.13283231373307;1.10331475926674;0.84506764955711;0.841322033132676;0.692907121650628
"P810405ABAL.28";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1987;7;91;113;38;27.6;629.9;0.938141957545618;1.26285714285714;0.429731540612162;0.992671939605608;1.28428571428571;1.24119047619048;1.17171428571429;0.764452331194081;0.903823983950907;1.02675352089548;0.898989099576957;0.813758530970899
"P810405ABAL.29";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1988;7;92;114;38;28;646.4;1.11518236754422;1.73857142857143;0.797634990911247;1.24423549948874;1.26285714285714;1.28404761904762;1.27185714285714;0.935179228453291;0.880517988737884;0.845797793340703;0.905872987931096;0.879303482726841
"P810405ABAL.30";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1989;7;93;115;38;28.3;663.3;1.13538956504321;1.72785714285714;0.595325291923158;0.951511858144108;1.73857142857143;1.42857142857143;1.345;1.51723803231174;1.31574389467701;1.06207850426061;0.978209939498929;0.920968719266437
"P810405ABAL.31";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1990;7;94;116;38;28.7;680.3;0.999251188169762;1.69142857142857;0.863098247661095;0.950931028476192;1.72785714285714;1.57642857142857;1.46371428571429;0.911720339190352;0.887573525995073;1.15314084940838;1.02033904900323;0.986567663492456
"P810405ABAL.32";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1991;7;95;117;38;29;695.2;0.903103138866609;1.445;0.733630516089643;1.05230949869034;1.69142857142857;1.71928571428571;1.541;1.02396177765776;0.997757241558189;1.02720542297407;1.08080825888102;1.02299521817585
"P810405ABAL.33";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1992;7;96;118;38;29.3;712.1;0.928568944527147;1.615;0.948491572513478;1.07086474373393;1.445;1.62142857142857;1.57314285714286;0.946549551622595;0.913446345677221;1.02626343864831;1.06886990367692;1.02289720172641
"P810405ABAL.34";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1993;7;97;119;38;29.5;724.1;0.78339830126563;1.13;0.754102079588068;0.888876804847379;1.615;1.58380952380952;1.64357142857143;0.932058789875375;1.03030058631306;1.0362399018859;1.02990292116942;1.06098562343545
"P810405ABAL.35";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1994;7;98;120;38;29.8;738.1;0.680920262105749;1.32642857142857;0.754961771184012;0.922494481315453;1.13;1.39666666666667;1.52185714285714;0.73925706700825;0.81894044065059;0.904647441976863;0.989050260837022;1.0294994109787
"P810405ABAL.36";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1995;7;99;121;38;30;750.2;0.495492583484027;1.18928571428571;0.796640958932292;0.918417864507351;1.32642857142857;1.35714285714286;1.44157142857143;0.524245385159313;0.629965370500843;0.902699427593247;0.947862257152003;0.979411126615676
"P810405ABAL.37";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1996;7;100;122;38;30.2;760.9;0.633765242514483;1.02928571428571;0.623356941454811;0.779243228655051;1.18928571428571;1.2152380952381;1.34114285714286;0.332767769231273;0.538891068603987;0.832181274889;0.879842714819703;0.940406296998663
"P810405ABAL.38";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1997;7;101;123;38;30.6;782.7;0.559059209523733;2.06071428571429;1.43023101257746;1.75174910855175;1.02928571428571;1.18166666666667;1.258;0.920563457068034;0.640323471445675;0.617504702932482;0.784128468471576;0.858654549855498
"P810405ABAL.39";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1998;7;102;124;38;31;802;0.510508121896638;1.79857142857143;1.2349427551886;1.35850517693695;2.06071428571429;1.42642857142857;1.34714285714286;0.675539669208159;0.545019237109753;1.43765377675389;0.962446584858456;0.938937324829096
"P810405ABAL.40";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1999;7;103;125;38;31.5;827.3;0.492285269466657;2.38071428571429;1.55988028847702;1.54147829570094;1.79857142857143;1.62952380952381;1.48085714285714;0.743434442183312;0.485554831159761;1.23947857839029;1.09821235269222;1.00590355211178
"P810405ABAL.41";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2000;7;104;126;38;31.8;844.8;0.524588895847032;1.62785714285714;1.16614430219192;0.995178362023111;2.38071428571429;2.08;1.69171428571429;0.733011955876338;0.630426264699476;1.53110296608026;1.40274510707481;1.13158425980918
"P810405ABAL.42";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2001;7;105;127;38;32.2;864.4;0.40211552970489;1.85857142857143;1.11300650298805;1.00683436000249;1.62785714285714;1.93571428571429;1.77942857142857;0.835344780992974;0.64759683499816;1.16272432942775;1.3111019579661;1.19769287071693
"P810405ABAL.43";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2002;7;106;128;38;32.6;885;0.4236949346054;1.94785714285714;1.37069445892538;1.27940937690702;1.85857142857143;1.95571428571429;1.94528571428571;0.719725925874935;0.52660157243109;1.28991486037041;1.32791405195948;1.33217490220452
"P810405ABAL.44";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2003;7;107;129;38;32.9;902.4;0.496511004372769;1.63714285714286;0.969281963240672;1.06735812231654;1.94785714285714;1.81142857142857;1.92271428571429;0.432976101261197;0.424880123784455;1.36673713781802;1.27312544253873;1.31799157441735
"P810405ABAL.45";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2004;7;108;130;38;33.3;921.4;0.626390795754346;1.83285714285714;1.22161534624682;0.913248647845796;1.63714285714286;1.81452380952381;1.89042857142857;0.793183932849033;0.637053838233469;1.01905473337898;1.22523557718914;1.27390680541509
"P810405ABAL.46";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2005;7;109;131;38;33.7;942;0.603136022496089;1.99857142857143;1.10378614784714;1.27533781549945;1.83285714285714;1.80595238095238;1.78085714285714;1.42214356105729;0.927439630398273;1.24508147545035;1.21029111554911;1.2167025072891
"P810405ABAL.47";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2006;7;110;132;38;33.9;956.2;0.523939804255997;1.37428571428571;0.901492460843973;0.633019128709835;1.99857142857143;1.82285714285714;1.855;0.454741530100586;0.500398973663612;1.53340822889634;1.26584814590856;1.29083928718282
"P810405ABAL.48";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2007;7;111;133;38;34.3;975;0.676852113602683;1.81642857142857;1.02784671871693;1.10710143909352;1.37428571428571;1.7352380952381;1.75814285714286;0.595299309751625;0.522682703004562;0.908757919248414;1.22908254119837;1.21460789895842
"P810405ABAL.49";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2008;7;112;134;38;34.7;994.6;0.538401855337702;1.84714285714286;1.13889759807574;0.981747388571434;1.81642857142857;1.7297619047619;1.73185714285714;0.807257660045101;0.64168231370651;1.1389305717018;1.19369890661552;1.16904658573518
"P810405ABAL.50";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2009;7;113;135;38;35;1014.6;0.444759670312023;1.77857142857143;1.23975269623098;0.923114003932542;1.84714285714286;1.67928571428571;1.77385714285714;0.924097823658647;0.703417471242193;1.25803320864836;1.10190723319952;1.21684228078905
"P810405ABAL.51";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2010;7;114;136;38;35.3;1033.8;0.434215764276576;1.66;1.01564038578416;1.1044284986632;1.77857142857143;1.81404761904762;1.763;0.401432566544345;0.387160699885744;1.31372600402823;1.23689659479279;1.23057118650463
"P810405ABAL.52";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2011;7;115;137;38;35.7;1054.5;0.489731724092905;1.77571428571429;1.24938974992693;0.994996886430101;1.66;1.76190476190476;1.69528571428571;0.712881004386235;0.575277406046041;1.03686290127798;1.20287403798485;1.13126212098095
"P810405ABAL.53";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2012;7;116;138;38;36.1;1077.1;0.45410804585847;1.89428571428571;1.31409239465776;1.08549431779545;1.77571428571429;1.73809523809524;1.77557142857143;0.700812715682349;0.529381936676464;1.23919520720614;1.19659470417078;1.1973495785725
"P810405ABAL.54";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2013;7;117;139;38;36.4;1094.7;0.405633979834152;1.475;1.02390451389563;1.074413836241;1.89428571428571;1.77666666666667;1.79114285714286;0.624506554130772;0.601800528339681;1.32383193896292;1.19996334914901;1.23432985202472
"P810405ABAL.55";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2014;7;118;140;38;36.8;1119.7;0.503897390056348;2.02785714285714;1.33507174766612;1.29756733471549;1.475;1.715;1.71671428571429;0.666993209046467;0.495377829027188;1.03773015263668;1.20025243293525;1.19026924082239
"P810405ABAL.56";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2015;7;119;141;38;37.1;1140.7;0.469506373308311;1.69071428571429;1.01761536454052;1.05587474956299;2.02785714285714;1.79904761904762;1.76657142857143;0.959199602704369;0.790327233888826;1.34643330799905;1.23599846653289;1.19681070161655
"P810405ABAL.57";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2016;7;120;142;38;37.5;1165.9;0.520598718424151;1.97142857142857;1.15298931398635;1.09713568553103;1.69071428571429;1.73119047619048;1.77271428571429;0.838078456640505;0.612075295504352;1.21367398410985;1.19927914824853;1.23217291818293
"P810405ABAL.58";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2017;7;121;143;38;37.7;1180.3;0.722610583670278;1.08357142857143;0.62140945382651;0.645487559558918;1.97142857142857;1.89666666666667;1.81185714285714;0.324723332974204;0.513741853172609;1.36924078262287;1.30978269157726;1.25818203326628
"P810405ABAL.59";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2018;7;122;144;38;38;1197.8;0.389200023017863;1.37642857142857;0.936285491639154;0.856245958894786;1.08357142857143;1.58190476190476;1.64971428571429;0.442604798172281;0.471750175286673;0.632074904874652;1.07166322386912;1.11983062644862
"P810405ABAL.60";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";2019;7;123;145;38;38.3;1215.3;0.62699866320347;1.30785714285714;0.898879140562308;0.956365888954765;1.37642857142857;1.47714285714286;1.63;0.509694717751309;0.569992377296091;0.938218619427793;0.979844768975106;1.09992831980684
"P800040PISY.1";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1960;7;62;64;3;26.6;572.4;0.388546233458608;1.69785714285714;0.996854617010153;0.9820727833459;1.72642857142857;1.54785714285714;1.40914285714286;0.355055601571084;0.357783707965425;0.999890379978141;0.907296616751342;0.836660599101862
"P800040PISY.2";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1961;7;63;65;3;27;587.6;0.40974246766923;1.735;0.951260573450988;1.0832922030652;1.69785714285714;1.64238095238095;1.49785714285714;0.425209113087675;0.41822983588506;0.9923749842891;0.956169494257046;0.883132366558574
"P800040PISY.3";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1962;7;64;66;3;27.3;602.4;0.30343297989839;1.66857142857143;1.00706065033608;1.07089625495921;1.735;1.7197619047619;1.61528571428571;0.371805704092694;0.36886133379939;1.01668765975972;1.00298434134232;0.94619049886057
"P800040PISY.4";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1963;7;65;67;3;27.6;616.4;0.359003778430046;1.55071428571429;0.930054175137668;0.92859697304667;1.66857142857143;1.70047619047619;1.66614285714286;0.474575868366429;0.496709487800826;1.00798232295854;1.00568165566912;0.97863569309788
"P800040PISY.5";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1964;7;66;68;3;27.9;629.7;0.464719474122762;1.44214285714286;0.882092289484855;0.931404464885404;1.55071428571429;1.65142857142857;1.67571428571429;0.430263692271779;0.495385429978711;0.955439507442482;0.993369830053581;0.994474970885597
"P800040PISY.6";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1965;7;67;69;3;28.2;642.9;0.511369298686127;1.41142857142857;1.00601121752785;0.936101932752875;1.44214285714286;1.55380952380952;1.61885714285714;0.374454705502035;0.456768292433;0.868543292220502;0.943988374207174;0.968205553334069
"P800040PISY.7";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1966;7;68;70;3;28.6;659.8;0.465810498047974;1.79785714285714;1.07829315673194;1.14753110183856;1.41142857142857;1.46809523809524;1.56157142857143;0.476065544112021;0.455724835852311;0.819791372793155;0.88125805748538;0.93368883103488
"P800040PISY.8";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1967;7;69;71;3;28.9;674.8;0.42413545518422;1.58785714285714;0.940841092854768;0.793727587294806;1.79785714285714;1.55047619047619;1.57414285714286;0.399938225735296;0.431262300495701;1.04463374970923;0.910989471574294;0.939278049024781
"P800040PISY.9";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1968;7;70;72;3;29.2;689.5;0.453231893952682;1.53928571428571;0.884894414526776;1.00672907589035;1.58785714285714;1.59904761904762;1.558;0.399016562124596;0.45249143343591;0.927366536039899;0.930597219514093;0.923154891641053
"P800040PISY.10";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1969;7;71;73;3;29.5;702.6;0.45885159674923;1.35857142857143;0.807332571736666;0.868424611122742;1.53928571428571;1.64166666666667;1.55571428571429;0.434122427806132;0.532637902737943;0.881821251498041;0.951273845749055;0.908431240452165
"P800040PISY.11";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1970;7;72;74;3;29.7;716.4;0.418435178675207;1.40214285714286;0.872567058331744;1.04565607158106;1.35857142857143;1.4952380952381;1.539;0.433989069710897;0.500650893578078;0.815042312187309;0.874743366575083;0.897731044445526
"P800040PISY.12";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1971;7;73;75;3;30;727.8;0.426323563736933;1.15142857142857;0.701549458468705;0.816872517540312;1.40214285714286;1.43333333333333;1.53714285714286;0.295823257151313;0.429812360747468;0.866849685634717;0.854571083106689;0.907142707013839
"P800040PISY.13";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1972;7;74;76;3;30.2;741.1;0.407429664868279;1.33642857142857;0.775333131591051;1.04148280158618;1.15142857142857;1.30404761904762;1.40785714285714;0.289805651833039;0.369592421153422;0.688261400013857;0.790051132611961;0.835868237074765
"P800040PISY.14";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1973;7;75;77;3;30.5;754.4;0.397903492020741;1.315;0.791292461190666;0.864938865523765;1.33642857142857;1.29666666666667;1.35757142857143;0.272238424437951;0.357420481258445;0.784122279695603;0.779744455114726;0.807219385805906
"P800040PISY.15";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1974;7;76;78;3;30.7;765.8;0.390099702355408;1.125;0.657092967056796;0.872912138722547;1.315;1.26761904761905;1.31271428571429;0.243700978159855;0.374495754690574;0.761675501861071;0.744686393856844;0.783190235878511
"P800040PISY.16";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1975;7;77;79;3;30.9;776.4;0.364445140194545;1.04285714285714;0.603901074004559;0.913625705790612;1.125;1.25880952380952;1.266;0.218681314754069;0.360254742132742;0.650744301123553;0.732180694226742;0.75033063366576
"P800040PISY.17";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1976;7;78;80;3;31.1;783.3;0.203848464077349;0.693571428571429;0.404106861697239;0.758627238284078;1.04285714285714;1.16095238095238;1.19414285714286;0.109281259897362;0.266148924819365;0.607018559865319;0.673146120949981;0.698364408511881
"P800040PISY.18";"P800040PISY";"BU_255C_PISY";"Managed";"Monoculture";"moderate";205;17.229;48.949;"PISY";1977;7;79;81;3;31.2;792;0.249273472427076;0.877142857142857;0.524623208885787;1.01941715732169;0.693571428571429;0.953809523809524;1.10257142857143;0.169725827834189;0.321996114050612;0.410601921354862;0.556121594114578;0.642832512780082
